timestamps,TP9,AF7,AF8,TP10,Marker0
1.445,-57.617,-5.371,-4.883,-26.855,0
1.448,-66.895,-12.207,-17.578,-19.043,0
1.452,-69.824,-16.113,-22.949,-19.531,0
1.456,-66.406,-16.113,-16.602,-26.855,NaN
1.460,-59.570,-14.160,-16.113,-28.320,0
1.464,-54.199,-2.930,-21.973,-20.020,0
1.468,-58.594,11.230,-19.043,-22.949,0
1.482,-56.152,15.137,-7.812,-25.879,0
1.486,-42.969,6.836,-7.324,-28.809,0
1.490,-42.969,3.906,-20.996,-28.320,0
1.494,-44.434,8.789,-24.902,-20.996,NaN
1.498,-49.805,7.812,-15.137,-18.555,0
1.502,-48.340,1.953,-15.137,-11.719,0
1.505,-39.551,-10.254,-21.973,-8.789,0
1.509,-34.668,-6.836,-13.672,-15.137,0
1.513,-30.762,9.277,-2.930,-17.090,0
1.517,-29.785,9.766,-7.324,-23.438,NaN
1.521,-34.180,0.000,-11.230,-29.297,NaN
1.525,-41.016,-12.207,-16.113,-38.574,NaN
1.519,-39.062,-25.391,-25.391,-48.828,0
1.523,-30.762,-18.555,-30.762,-44.434,0
1.527,-30.762,-5.371,-23.926,-35.645,0
1.531,-45.898,0.488,-19.043,-37.598,NaN
1.535,-35.645,0.977,-18.066,-42.969,0
1.539,-25.879,-11.719,-10.742,-47.852,0
1.542,-40.039,-11.719,-1.465,-51.270,0
1.546,-44.434,-1.465,-14.160,-50.781,0
1.550,-35.156,-6.836,-20.020,-43.457,NaN
1.554,-29.785,-13.184,-10.742,-31.250,0
1.558,-29.785,0.977,-17.578,-28.320,NaN
1.562,-24.902,12.207,-18.066,-25.391,0
1.558,-26.855,2.441,-11.230,-27.344,0
1.562,-35.645,-6.348,-14.648,-34.668,NaN
1.566,-35.156,-13.672,-33.691,-31.250,0
1.570,-23.438,-25.879,-25.391,-25.879,NaN
1.574,-19.531,-22.461,2.930,-21.484,0
1.578,-35.156,2.930,6.836,-17.578,0
1.581,-44.922,10.254,-13.184,-26.367,0
1.585,-39.551,1.953,-22.949,-27.344,0
1.589,-40.039,-14.160,-15.625,-35.156,0
1.593,-43.945,-19.531,-16.602,-44.922,0
1.597,-45.410,-7.812,-25.391,-32.227,NaN
1.601,-44.434,-9.766,-34.180,-28.320,0
1.614,-45.410,-7.324,-20.996,-36.133,0
1.618,-46.387,0.000,-5.371,-33.203,0
1.622,-45.898,-9.277,-10.254,-29.785,0
1.626,-44.434,-12.695,-13.672,-36.621,NaN
1.630,-48.340,-9.766,-4.395,-34.668,0
1.634,-42.969,-15.625,-3.418,-24.902,0
1.637,-41.016,-13.672,-13.672,-24.902,NaN
1.641,-51.270,-11.230,-9.277,-25.879,0
1.645,-53.711,-15.625,-1.953,-26.367,0
1.649,-54.199,-17.578,-7.812,-24.414,0
1.653,-56.641,-23.926,-10.742,-16.113,NaN
1.657,-57.129,-29.297,-7.812,-15.625,0
1.669,-55.176,-25.879,-13.672,-15.137,0
1.673,-46.875,-19.531,-11.719,-5.371,0
1.677,-45.898,-18.555,-3.906,0.977,0
1.681,-45.898,-21.484,-10.254,-3.906,0
1.685,-50.293,-18.066,-21.484,-18.066,0
1.689,-58.594,-11.719,-12.695,-17.578,0
1.692,-60.059,-7.812,-0.488,-12.207,NaN
1.696,-57.129,-8.789,0.977,-6.836,0
1.700,-50.781,-11.230,7.324,-1.953,0
1.704,-54.199,-16.602,10.742,-12.695,0
1.708,-54.688,-23.438,-3.418,-21.484,NaN
1.712,-57.129,-28.809,-25.879,-21.484,NaN
1.707,-55.664,-16.113,-23.438,-24.414,NaN
1.711,-43.457,-15.625,-4.883,-20.020,0
1.715,-43.945,-15.137,-3.906,-16.602,0
1.719,-48.828,-3.418,-4.883,-15.137,0
1.723,-45.898,-3.418,-4.883,-9.277,NaN
1.727,-46.387,-4.883,-1.465,-14.160,0
1.730,-46.875,-14.648,-6.836,-20.996,0
1.734,-42.969,-25.391,-20.508,-17.090,0
1.738,-42.480,-21.973,-24.902,-18.555,0
1.742,-31.738,-26.367,-22.949,-3.906,0
1.746,-15.625,-38.574,-13.184,30.762,NaN
1.750,-41.016,-32.715,-9.766,7.324,0
1.763,-70.312,-21.484,-16.602,-22.461,0
1.767,-72.266,-12.695,-21.973,-16.113,0
1.771,-61.035,-6.348,-22.461,-18.066,NaN
1.775,-54.199,-8.789,-23.926,-18.555,0
1.779,-57.617,-11.719,-34.180,-13.672,0
1.783,-53.223,-10.742,-42.480,-17.090,0
1.786,-56.152,-18.066,-38.086,-20.508,0
1.790,-50.293,-6.348,-34.180,-10.254,NaN
1.794,-54.688,14.648,-36.621,-22.461,0
1.798,-58.105,6.348,-48.340,-31.738,0
1.802,-58.594,3.906,-46.875,-36.621,0
1.806,-59.082,7.324,-34.668,-39.062,NaN
1.800,-43.945,-5.371,-34.180,-26.367,NaN
1.804,-42.480,-8.301,-41.504,-26.855,NaN
1.808,-48.340,-4.883,-43.457,-29.297,0
1.812,-49.805,-8.789,-31.250,-30.273,0
1.816,-45.410,-8.789,-34.180,-31.250,NaN
1.820,-41.016,-12.695,-42.480,-24.414,0
1.823,-41.016,-17.578,-28.320,-22.461,0
1.827,-44.434,-17.578,-21.484,-20.996,0
1.831,-40.527,-19.531,-33.691,-12.695,NaN
1.835,-35.645,-12.695,-33.691,-6.836,0
1.839,-38.086,-13.184,-28.809,-4.883,0
1.843,-38.574,-18.066,-43.945,-13.184,0
1.839,-31.738,-13.672,-37.598,-14.648,NaN
1.843,-33.203,-29.785,-31.738,-10.742,NaN
1.847,-40.039,-27.344,-30.762,-8.301,NaN
1.851,-41.016,-11.230,-16.602,-7.812,0
1.855,-44.922,-21.484,-23.926,-11.230,0
1.859,-44.434,-32.227,-20.508,-12.207,NaN
1.862,-47.852,-24.902,-10.742,-10.254,0
1.866,-55.176,-7.812,-13.672,-2.930,0
1.870,-55.176,-2.930,-6.348,-0.488,0
1.874,-41.504,-4.395,-5.371,-0.488,0
1.878,-44.434,-5.371,-15.137,5.371,NaN
1.882,-49.316,-13.672,-26.367,5.371,0
1.894,-43.457,-25.879,-28.320,-2.441,0
1.898,-37.598,-31.738,-19.043,-1.953,NaN
1.902,-36.621,-25.879,-15.625,-1.465,0
1.906,-45.410,-25.391,-21.484,-7.324,0
1.910,-39.062,-31.738,-25.391,-4.395,0
1.914,-32.227,-30.762,-19.043,-3.418,0
1.917,-38.574,-31.250,-9.277,-9.277,NaN
1.921,-35.156,-38.086,-1.953,-13.184,0
1.925,-27.344,-41.992,1.465,-19.531,0
1.929,-27.832,-38.086,0.000,-16.602,0
1.933,-23.438,-36.621,2.930,-3.418,0
1.937,-20.508,-39.062,2.441,-11.719,0
1.950,-21.973,-24.902,-4.395,-23.926,0
1.954,-26.367,-18.555,-11.230,-23.926,NaN
1.958,-21.973,-21.484,-15.625,-14.648,0
1.962,-9.766,-16.113,-10.254,-0.977,0
1.966,-12.207,-37.109,-6.836,-1.953,0
1.970,-20.996,-44.922,-4.883,-0.977,0
1.973,-26.855,-32.715,-2.441,-1.465,NaN
1.977,-19.531,-28.320,-17.090,-1.953,0
1.981,-16.602,-32.227,-26.855,-6.836,0
1.985,-13.184,-36.133,-19.043,-22.949,0
1.989,-16.113,-27.832,-7.324,-17.578,0
1.993,-26.367,-26.855,-9.277,-16.602,NaN
1.988,-13.672,-36.133,-8.789,-13.672,NaN
1.992,-8.301,-41.504,-8.789,-6.836,NaN
1.996,-19.043,-33.203,-22.949,-12.207,0
2.000,-20.508,-36.133,-24.414,-10.254,0
2.004,-20.020,-38.574,-20.996,-3.906,0
2.008,-25.391,-34.668,-34.180,-12.695,NaN
2.011,-23.438,-40.039,-27.344,-17.578,NaN
2.015,-20.508,-42.969,-6.836,-15.137,0
2.019,-23.438,-38.086,-6.348,-17.578,0
2.023,-15.625,-37.109,-9.277,-10.254,0
2.027,-11.230,-35.645,-9.277,-14.160,NaN
2.031,-28.809,-24.902,-19.531,-29.297,NaN
