timestamps,TP9,AF7,AF8,TP10,Marker0
1.703,-23.438,-27.344,-32.715,-17.578,NaN
1.707,-26.367,-28.320,-20.996,-14.648,0
1.711,-21.973,-23.926,-29.785,-8.301,NaN
1.715,-34.180,-29.785,-19.043,-20.996,0
1.719,-24.902,-31.250,-3.906,-18.555,0
1.723,-14.648,-31.250,-10.254,-11.230,NaN
1.725,-29.297,-18.555,-36.621,-20.508,0
1.729,-25.391,-12.695,-47.852,-15.137,NaN
1.733,-19.531,-29.785,-40.039,-17.090,0
1.737,-30.762,-27.832,-30.273,-34.668,0
1.741,-43.945,-34.668,-12.695,-39.551,0
1.745,-35.645,-40.527,-18.555,-32.715,0
1.748,-31.250,-22.461,-31.250,-31.250,NaN
1.752,-40.527,-7.812,-28.320,-34.180,0
1.756,-35.156,-21.973,-14.648,-38.574,0
1.760,-17.578,-28.809,-15.137,-22.949,0
1.764,-20.020,-26.855,-24.902,-20.020,NaN
1.768,-38.086,-18.066,-18.555,-31.250,0
1.770,-39.062,-14.160,-22.949,-30.273,0
1.774,-41.504,-34.180,-36.133,-39.062,0
1.778,-62.012,-39.551,-35.156,-52.734,NaN
1.782,-66.895,-17.090,-20.996,-62.500,0
1.786,-64.941,8.789,-11.230,-71.289,0
1.790,-91.309,6.348,-12.695,-88.867,0
1.793,-104.980,-14.648,-18.555,-101.074,0
1.797,-102.051,-8.301,-37.109,-104.004,0
1.801,-110.352,8.301,-32.715,-108.887,NaN
1.805,-113.281,4.883,-10.254,-106.934,0
1.809,-133.301,-29.297,-19.043,-126.465,0
1.813,-153.320,-30.273,-7.324,-148.438,0
1.815,-176.270,-14.648,6.836,-166.016,NaN
1.819,-197.754,-44.434,-21.484,-179.199,0
1.823,-196.289,-61.523,-20.020,-181.152,0
1.827,-211.426,-5.371,6.348,-200.195,0
1.831,-223.633,46.875,13.184,-207.520,NaN
1.835,-221.680,39.551,31.250,-203.613,0
1.838,-209.473,30.762,54.688,-196.777,0
1.842,-189.453,27.344,32.227,-177.246,0
1.846,-175.293,-9.277,-4.395,-166.992,0
1.850,-167.480,-39.551,-2.930,-158.203,NaN
1.854,-143.555,-30.762,32.715,-131.348,0
1.858,-125.000,-20.020,37.598,-116.211,0
1.875,-118.164,-9.277,2.441,-108.398,0
1.879,-103.027,-25.879,-24.414,-85.938,0
1.883,-82.520,-24.414,-22.949,-64.941,NaN
1.887,-50.781,-20.020,-12.207,-45.410,0
1.891,-28.320,-28.809,-27.344,-34.180,0
1.895,-19.043,-35.645,-41.016,-25.879,0
1.898,-2.930,-59.570,-41.016,-12.695,NaN
1.902,22.949,-78.125,-49.805,-0.488,0
1.906,39.551,-46.875,-37.109,17.090,NaN
1.910,26.367,-20.508,-36.621,18.066,0
1.914,26.855,-18.066,-45.898,31.250,0
1.918,39.062,-34.180,-55.664,45.898,NaN
1.921,41.016,-44.922,-61.035,50.293,0
1.925,50.293,-51.758,-40.527,57.129,0
1.929,69.336,-65.918,-45.410,62.012,0
1.933,78.613,-37.598,-40.527,70.801,NaN
1.937,71.289,-25.391,-40.527,65.918,0
1.941,75.195,-39.062,-56.152,75.684,0
1.944,83.984,-33.203,-44.922,83.496,0
1.948,81.055,-20.020,-47.363,79.102,0
1.952,83.008,-7.812,-52.734,83.008,NaN
1.956,73.730,-17.578,-39.062,77.148,0
1.960,83.008,-37.109,-45.898,80.566,0
1.964,91.797,-42.969,-54.688,90.820,0
1.981,91.309,-31.738,-35.645,92.773,0
1.985,87.891,-30.762,-20.020,79.590,0
1.989,74.219,-34.180,-41.504,67.383,0
1.993,83.496,-20.508,-50.293,77.637,0
1.997,67.871,-20.020,-34.668,61.035,0
2.001,46.387,-19.531,-32.715,38.086,0
2.004,41.992,-28.809,-39.062,35.156,0
